ID_ECG,TYPE_ANN,RHYTHM
ltafdb101,Sample,
ltafdb101,+,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,A,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,A,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,A,(N
ltafdb101,A,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
ltafdb101,N,(N
