ID_ECG,TYPE_ANN,RHYTHM
mitdb201,#,
mitdb201,+,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,a,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
mitdb201,N,(AFIB
